"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 03:33:49 MSK 2020","Wed Sep 16 03:33:50 MSK 2020","1028","","test","","test","test_add_group.test_add_group[None; nameEMk4P; headerkPO6P; footermn2L7fr]","test_add_group.test_add_group[None; nameEMk4P; headerkPO6P; footermn2L7fr]",""
"passed","Wed Sep 16 03:33:45 MSK 2020","Wed Sep 16 03:33:47 MSK 2020","2100","","test","","test","test_add_group.test_add_group[None; ; ; ]","test_add_group.test_add_group[None; ; ; ]",""
"passed","Wed Sep 16 03:33:52 MSK 2020","Wed Sep 16 03:33:53 MSK 2020","1188","","test","","test","test_db_matches_ui.test_group_list","test_db_matches_ui.test_group_list",""
"passed","Wed Sep 16 03:33:36 MSK 2020","Wed Sep 16 03:33:43 MSK 2020","7841","","test","","test","test_add_contact.test_add_contact[id:None;firstname:firstname:x3,.CB7;middlename:middlenames;lastname:lastname .]","test_add_contact.test_add_contact[id:None;firstname:firstname:x3,.CB7;middlename:middlenames;lastname:lastname .]",""
"failed","Wed Sep 16 03:34:14 MSK 2020","Wed Sep 16 03:34:17 MSK 2020","2789","","test","","test","test_phones.test_phones_on_view_page","test_phones.test_phones_on_view_page",""
"passed","Wed Sep 16 03:34:00 MSK 2020","Wed Sep 16 03:34:09 MSK 2020","8580","","test","","test","test_edit_contact.test_edit_some_contact","test_edit_contact.test_edit_some_contact",""
"passed","Wed Sep 16 03:33:48 MSK 2020","Wed Sep 16 03:33:49 MSK 2020","1023","","test","","test","test_add_group.test_add_group[None; name; headerjb7Vfr5r3x48h4r0; footeriyE6VFAY78J]","test_add_group.test_add_group[None; name; headerjb7Vfr5r3x48h4r0; footeriyE6VFAY78J]",""
"passed","Wed Sep 16 03:33:43 MSK 2020","Wed Sep 16 03:33:45 MSK 2020","1103","","test","","test","test_add_contact_to_group.test_add_contact_to_group","test_add_contact_to_group.test_add_contact_to_group",""
"passed","Wed Sep 16 03:33:27 MSK 2020","Wed Sep 16 03:33:36 MSK 2020","8131","","test","","test","test_add_contact.test_add_contact[id:None;firstname:;middlename:None;lastname:]","test_add_contact.test_add_contact[id:None;firstname:;middlename:None;lastname:]",""
"passed","Wed Sep 16 03:33:59 MSK 2020","Wed Sep 16 03:34:00 MSK 2020","1662","","test","","test","test_del_group.test_delete_some_group","test_del_group.test_delete_some_group",""
"passed","Wed Sep 16 03:34:09 MSK 2020","Wed Sep 16 03:34:10 MSK 2020","1497","","test","","test","test_edit_group.test_edit_some_group","test_edit_group.test_edit_some_group",""
"passed","Wed Sep 16 03:33:50 MSK 2020","Wed Sep 16 03:33:51 MSK 2020","1012","","test","","test","test_add_group.test_add_group[None; nameCWL; headerRXulHFswSK5h3cI; footerLP62FWVgPYwxK]","test_add_group.test_add_group[None; nameCWL; headerRXulHFswSK5h3cI; footerLP62FWVgPYwxK]",""
"passed","Wed Sep 16 03:33:58 MSK 2020","Wed Sep 16 03:33:59 MSK 2020","922","","test","","test","test_del_contract_from_group.test_del_contact_from_group","test_del_contract_from_group.test_del_contact_from_group",""
"passed","Wed Sep 16 03:33:51 MSK 2020","Wed Sep 16 03:33:52 MSK 2020","1008","","test","","test","test_add_group.test_add_group[None; nameL; header1; footerJawD1Nut]","test_add_group.test_add_group[None; nameL; header1; footerJawD1Nut]",""
"passed","Wed Sep 16 03:33:47 MSK 2020","Wed Sep 16 03:33:48 MSK 2020","1020","","test","","test","test_add_group.test_add_group[None; nameGVIFf; header0AOKgFOiVO; footervWNCYffwm]","test_add_group.test_add_group[None; nameGVIFf; header0AOKgFOiVO; footervWNCYffwm]",""
"passed","Wed Sep 16 03:34:14 MSK 2020","Wed Sep 16 03:34:14 MSK 2020","444","","test","","test","test_phones.test_phones_on_home_page","test_phones.test_phones_on_home_page",""
"passed","Wed Sep 16 03:34:12 MSK 2020","Wed Sep 16 03:34:14 MSK 2020","1574","","test","","test","test_match_contracts.test_match_contact","test_match_contracts.test_match_contact",""
"passed","Wed Sep 16 03:33:53 MSK 2020","Wed Sep 16 03:33:58 MSK 2020","4598","","test","","test","test_del_contact.test_delete_first_contact","test_del_contact.test_delete_first_contact",""
"passed","Wed Sep 16 03:34:10 MSK 2020","Wed Sep 16 03:34:12 MSK 2020","1860","","test","","test","test_edit_group.test_edit_some_group_name","test_edit_group.test_edit_some_group_name",""
